# Constructed from biom file
#OTU ID	AGOS38P1B7	AGOS42P6B7	AGOS44P4B7	AGOS46P1B7	AGOS48P4B7	AGOS50P1B7	AGOS53P1B7	AGOS54P5B7	AGOS56P1B7	AGOS57P4B7	AGOS58P6B7	AGOS60P3B7	CONS37P4B7	CONS39P1B7	CONS41P1B7	CONS43P5B7	CONS45P2B7	CONS47P6B7	CONS49P6B7	CONS51P3B7	CONS52P4B7	CONS55P5B7	CONS59P1B7	CONS61P4B7	CONS62P1B7
CHLOROPHYLL-SYN	39.19713600678134	61.20242988948287	35.78599010797749	30.275549395501443	34.10836485927658	52.16367006133706	42.98515872413038	38.60818378985639	86.2507088759502	17.164678567139177	23.87712776881159	14.94608662830198	28.090777502618472	54.44300645219055	82.05447320466686	40.55160237468732	23.217971871055482	40.932023918944346	42.63010074994538	26.619573379228232	15.027455754177273	29.54109195511711	25.63489537383479	26.863032903625722	27.18599017784164
COA-PWY	7615.911633413885	11473.064049163435	6796.112706202573	11031.857443784538	9456.512093548881	6494.899384895369	9508.163148049607	12881.991363169322	9008.841615796084	8619.190969071673	9430.003398300576	11121.350067809666	7861.53619338187	8664.573190784238	11332.060655267906	8609.252436700923	8107.681559903879	15008.7935179953	11412.780535471382	6869.169642933444	7840.366119823158	9922.7971297476	10571.876570196739	19181.360909325555	9135.285949080904
COBALSYN-PWY	5119.961703881476	7926.763321554405	4109.789953268421	7423.599276119172	5825.217935088035	4697.074335537013	6079.0831815627	8800.987078725528	6532.551417454797	5576.506916823388	6213.069545984808	7371.7510294497115	4688.448717180684	5399.9275451150625	8018.216568202552	5569.469922092116	5864.286397027918	10158.994741092312	7005.816264554236	3968.9644724648556	4646.3816154993765	6497.952834492108	7577.1629664151715	11229.006764436323	5543.829923375865
CODH-PWY	548.4294077045648	852.7826311842548	438.33761981225314	478.03805002633044	658.3955278215213	338.4855389862969	607.7507269797687	662.4653453213166	483.4954447441709	463.36961494243246	530.0811336241551	589.6335921517418	627.3604565600049	640.9753605565288	554.6494737381721	527.0862185432773	420.6203683309931	1161.8355723836848	561.6991279446239	414.49563334966945	527.1605611701763	741.1499592764359	496.157258795483	781.3248253683507	487.2325628317564
COLANSYN-PWY	4615.486439634289	7027.636112348101	4701.311822209477	8530.473871812219	6324.16879049578	3938.4288027612197	5046.937042522266	7935.180866321464	4456.8855308060565	6281.189301245962	7207.7207456580745	8304.268119474928	4715.644704384228	6596.902151531058	7611.636183563821	6430.889629728541	5391.828446304711	9460.655553317685	7649.628761345939	4728.690216563507	4966.819660518625	6550.8057622984725	7078.470553784715	13232.600661976745	6667.916115053
COMPLETE-ARO-PWY	8441.266317380576	12876.840131091421	7975.006337313934	13224.244103056502	10448.643727553585	7190.29264872302	9732.836132366032	15368.36831820403	9880.951979540156	9474.02714200813	10587.80715142116	12296.465142001569	8458.814388924184	10004.30807257101	13943.201435904359	10201.937294929503	8782.1088615345	16203.81508994778	12926.813027808385	8001.9360828620565	8947.612658523714	11429.665881751214	12385.263538873154	21280.95649397647	10316.906062754011
CRNFORCAT-PWY	35.8552927774892	48.94134835063045	29.78943123538859	30.40239474767198	43.897826788201414	22.86558587967409	45.27337003216563	46.36424067341773	31.92006655836842	28.15887034190284	35.33161894304335	41.916257858563014	47.752780186590904	37.42263659643177	26.336520125582183	32.274168647706055	26.274309810444784	76.37318976159042	33.356525084336596	30.225282640911306	40.07115555117258	47.94381695571378	38.58841315317341	36.27211824297489	32.749132008633985
DAPLYSINESYN-PWY	7847.580712567851	11970.93003737089	7215.828987645914	11462.64054587443	9618.575538091736	6376.680036340043	9089.113571094495	13830.136746992599	9410.409142927745	8657.226835899655	9450.620027814708	10929.139712447495	7479.279629975248	9125.821326038027	12846.68827565451	9141.868087344708	7753.903636551185	14896.56940598454	11597.274140303509	7350.681929298292	8204.829283504361	10318.037661721912	11166.72050527723	16650.179041192103	9511.129593413694
DENITRIFICATION-PWY	28.84228449368002	13.208447412188079	36.35355592806193	46.875419317166475	33.57140155657696	25.11097072941268	27.46323020626635	11.367671733109049	20.448565799476487	9.403363222714196	14.58314451067247	31.591246109808093	16.415233502479126	21.530381194519205	25.159051378820852	23.400274922134738	19.66001014957469	32.73860466915965	25.63421778858445	20.87127493162168	20.030118905556176	12.781848797642247	13.711519389781676	8.666459260629846	28.93562742973523
DENOVOPURINE2-PWY	7622.995392929338	11200.092103852754	7126.367895705033	11366.885085069294	8891.528720466877	6396.30630380579	9374.391422810162	14093.422162447627	9537.933320943419	8300.51517858462	9182.154204663308	10957.094246448574	7380.027740503348	8750.102443225634	11448.951144801578	8377.400692687697	7709.955771017311	14626.000972729042	11684.73589494138	7040.205828725764	8230.117931600722	10345.825834328627	11360.82058236935	18406.691490732133	9389.233550420162
DHGLUCONATE-PYR-CAT-PWY	0.17050854199335347	0.26538888625721413	0.013652620796287868	0.14155554678224627	0.15537297447506596	0.021615287908505747	0.1728075948351205	0.09631732907051935	0.17927700888419396	0.09126196074888747	0.05052760692900942	0.0839959418802977	0.15919651161225779	0.22913266234243584	0.18010261929924123	0.11464256850928409	0.17290955629820057	0.30019681229107165	0.1373918617434813	0.008828957662068511	0.011789290245684517	0.13132361222192923	0.01139066588796919	0.12308519422428632	0.2070241372027932
DTDPRHAMSYN-PWY	7749.358039453309	13007.472911194724	8768.655916877977	14522.727776546983	10018.156790014938	5819.861229791267	8581.75189341557	14042.77735890988	7550.40277870132	9942.884433308118	11712.879935256962	13461.07253687798	7616.355313757242	11077.486723163302	14429.587457974694	11334.482161780983	8701.90872124764	15890.647346203643	13505.576360546153	9102.189681202279	9651.003607104223	12307.102224047974	11466.86601571887	17868.0672909341	11199.870828579671
ECASYN-PWY	25.8866997498819	153.27473196209903	54.25386733682462	59.54218118873227	21.612666338600086	142.85740474907072	15.786349574303284	48.016334191422935	164.60941229989805	38.33868916306326	32.77744841666024	45.53006194225847	53.36565655242259	48.78749416784811	55.61723733604592	30.498155973286337	115.59519817433367	314.7790243555326	29.96350747589841	25.575635615866613	21.852205945817772	95.88108352142834	27.53039479728414	127.22982533852993	10.225531055220278
ENTBACSYN-PWY	89.41298620223199	447.5513977764475	161.18076866586776	112.88778079998912	140.15718140042276	374.6770343937906	60.79638678775422	145.66245663592431	450.0394180025358	123.95504125723558	136.85639301928725	126.67476825901129	159.4567078446269	162.99897581866387	186.18620876713555	79.50080027262311	298.6256630285634	838.755483932144	77.02886498065223	86.03896403352513	108.42416670715325	261.12832428877726	99.80341357779382	448.0115416506782	37.08481230290726
FAO-PWY	889.0679045006365	950.6728793585935	653.294083690296	712.3079868825669	888.4390941836992	951.7462761071048	827.9715835149661	492.14136752702484	1189.1309690096882	536.7445161786662	490.67539146166257	691.0365556713202	1065.756721287281	868.0562341948945	907.9371297280506	501.91391278187064	659.6383737682743	1376.202239298003	655.823745011136	545.2540914894773	621.39166438558	600.9873859770619	543.5823224363612	3287.460286098723	799.0850584747733
FASYN-ELONG-PWY	3985.097927091508	7965.378625339363	5960.07961838327	11102.238099622551	7251.440632525063	3582.6059904470917	4235.6027403723465	8715.94101297817	5195.012280740477	6848.4065538710765	8139.369134475474	10355.012228249789	5591.493111173581	7194.927861284156	7767.498384768457	7432.775544492783	5661.820566358864	10497.812350946864	8441.060628846075	5795.204952120488	5891.973849482289	7371.246022314632	7012.678653893572	19878.574224153468	7778.422537835386
FASYN-INITIAL-PWY	2929.1744758780783	5994.949826852865	4488.349511651731	8344.16264883078	5525.636154357155	2658.2814370511223	3076.097144299827	6369.643710186469	1572.4149941477367	5207.406575374113	6130.414745490749	7846.673715044681	2669.7828230421733	5422.394937323729	5687.620529982055	5522.279379214852	4327.631934040015	7983.894397422767	6248.962487057977	4286.649233112151	4411.479882989165	5528.322435530155	5196.977405194898	7368.553044144421	5828.844789993557
FERMENTATION-PWY	4865.790577568043	6458.96715825614	4685.251039504492	8399.438004422464	6252.8669386727115	3967.7548463569374	6640.959108624858	6520.705046323434	8126.73576812373	6030.223308447392	6668.463236725387	8376.051556417891	5456.197778200202	6223.0487867691045	7346.486084394297	5789.639668925111	5611.303317685797	8878.781630796972	8000.591191289704	4874.027885857221	5661.288148414199	6159.811185136813	6194.404878010414	12906.968271722293	7101.975634038963
