# Constructed from biom file
#OTU ID	AGOS38P1A0	AGOS42P6A0	AGOS44P4A0	AGOS46P1A0	AGOS48P4A0	AGOS56P1A0	AGOS57P4A0	AGOS58P6A0	AGOS60P3A0	CONS37P4A0	CONS39P1A0	CONS41P1A0	CONS43P5A0	CONS45P2A0	CONS47P6A0	CONS49P6A0	CONS51P3A0	CONS52P4A0	CONS55P5A0	CONS59P1A0	CONS61P4A0	CONS62P1A0	“taxonomy”
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__	0.08942166421797783	0.053493527855252805	0.08218400837988826	0.10195756331279945	0.09742407101209642	0.1247197169764313	0.04792056410994388	0.06018672890963655	0.06829145728643216	0.09642533936651583	0.049076073914086873	0.10952283011106541	0.06466620144219586	0.10206985769728331	0.05494289090192989	0.059246746746746744	0.08480908615407606	0.06364956437560504	0.07508147405364753	0.08169533169533169	0.0727291325695581	0.08697079094191007
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter	0.09022305329237344	0.06565114782235572	0.05778631284916201	0.036714579055441475	0.07771299277695588	0.04519408042254223	0.03748740826018132	0.050725241747249086	0.04582914572864322	0.07420814479638009	0.04085673146148308	0.06555944055944056	0.08226719392106692	0.06862871927554981	0.05927530523828279	0.03541041041041041	0.06769782559964134	0.05584462729912875	0.06881423915768363	0.06403562653562654	0.06592675941080196	0.07690624658133684
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	0.0422064912515026	0.14914539083172423	0.17724336592178772	0.13418206707734429	0.15277173440083544	0.018635706811500324	0.13879694920132393	0.07306602200733578	0.17025125628140703	0.10778280542986425	0.20080393568514518	0.13430686960098726	0.1112661859347135	0.08725743855109962	0.05657457941821865	0.0920920920920921	0.15280579840095643	0.13268393030009681	0.10804712960641764	0.06203931203931204	0.07779255319148937	0.17580133464609998
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__SMB53	0.05683184185922265	0.029786168919402133	0.03784043296089386	0.05357973990417522	0.05787137759986076	0.10384174597638149	0.024176140451863577	0.029134711570523508	0.025678391959798996	0.04669683257918552	0.040436765058795295	0.061754422048539696	0.03148018919128479	0.03201811125485123	0.05356439543127216	0.05105105105105105	0.03586639766868415	0.024322362052274928	0.048759087490599144	0.0949017199017199	0.02025368248772504	0.05356817270174671
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__	0.05255776679577935	0.05553171708503182	0.04399441340782123	0.03427789185489391	0.07179531807501523	0.05849818127460262	0.03597639948193985	0.07152384128042681	0.054321608040201	0.04683257918552036	0.033597312215022795	0.048591114767585354	0.05916104520431108	0.05646830530401035	0.05651831429696731	0.04441941941941942	0.0505865650452066	0.05433204259438529	0.06342441714715467	0.03125	0.07656505728314239	0.046967873682675125
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.02691331641511954	0.06479296288350139	0.1466916899441341	0.06433949349760439	0.10556087372726482	0.001544670885445214	0.14548855950496475	0.09911637212404134	0.11477386934673367	0.06791855203619909	0.10187185025197984	0.10515220074043603	0.1360781577110956	0.11882276843467011	0.14524841051032464	0.08433433433433433	0.11036389449301352	0.12034123910939012	0.11425169215342192	0.05789312039312039	0.1497033551554828	0.12150384713561609
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__YRC22	0.029517830906905303	0.09221912322105413	0.0791288407821229	0.04791238877481177	0.08502306152641198	0.0019931237231551146	0.004964743128507699	0.09699066355451817	0.09733668341708543	0.03755656108597285	0.09029277657787377	0.046225832990538875	0.06745754826703884	0.0333764553686934	0.09129015923029314	0.0426051051051051	0.0657550623925876	0.06334704743465634	0.0527074454750564	0.014588452088452088	0.0425531914893617	0.03555409692593808
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	0.04574595966341659	0.07008510333976972	0.04499825418994413	0.10929500342231348	0.08624140631798799	0.06407892769943695	0.022593178874658223	0.0817355785261754	0.05472361809045226	0.02235294117647059	0.10499160067194624	0.09049773755656108	0.030549740249670467	0.05989650711513583	0.13711810048950657	0.06675425425425426	0.04856908017634312	0.13328896418199418	0.12490599147656054	0.12323402948402948	0.14085515548281505	0.06881085220435401
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.0	0.013587928198526783	0.003666201117318436	0.00867898699520876	0.00021756156992428858	0.008969056754198016	0.0	0.014379793264421474	0.0002512562814070352	0.0006334841628959276	0.0024598032157427405	0.006941587823940765	0.0017058230596262696	0.0036222509702457956	0.0002813256062566815	0.0	0.0005230516326683105	0.015549370764762828	0.014163950864878415	0.008292383292383292	0.010382569558101473	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.016161346333644983	0.011907316026603732	0.03059532122905028	0.07422313483915127	0.02588982682099034	0.014948427923663361	0.05432436321772917	0.023132710903634546	0.050301507537688445	0.0167420814479638	0.027897768178545716	0.038461538461538464	0.016670543537256725	0.01461836998706339	0.00669554942890902	0.02927927927927928	0.0587312261824703	0.037088576960309774	0.03158686387565806	0.07716523341523342	0.007774140752864157	0.06738868832731648
