# Constructed from biom file
#OTU ID	AGOS38P1A16	AGOS42P6A16	AGOS44P4A16	AGOS46P1A16	AGOS48P4A16	AGOS50P1A16	AGOS53P1A16	AGOS54P5A16	AGOS56P1A16	AGOS57P4A16	AGOS58P6A16	AGOS60P3A16	CONS37P4A16	CONS39P1A16	CONS41P1A16	CONS43P5A16	CONS45P2A16	CONS47P6A16	CONS49P6A16	CONS51P3A16	CONS52P4A16	CONS55P5A16	CONS59P1A16	CONS61P4A16	CONS62P1A16	“taxonomy”
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__	0.1337308982482296	0.13325652841781874	0.15376559909241644	0.1479571598571995	0.14125521557719053	0.10872153862808068	0.13595853918434564	0.09556379442597801	0.08783783783783784	0.09766898632536863	0.14556014609903598	0.11417031965719351	0.17479870207907702	0.13542795232936078	0.15437885313740393	0.17620773965095693	0.20449653193016024	0.09099402092675635	0.06207651769214975	0.11315097559850547	0.0722757081065997	0.13325595534184492	0.1244532437036696	0.09070236409662333	0.20731888729111916
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter	0.028997390980245993	0.06152073732718894	0.042499345492625885	0.07021023403411344	0.10083449235048679	0.08555551546205752	0.06490361329071007	0.03087445666070059	0.10014023457419684	0.059467613995814884	0.06095443386623556	0.06900458060385165	0.04692945559427954	0.06523757932208636	0.05776539143653408	0.06702638900598601	0.056605277844215894	0.0405923019431988	0.049688590787762645	0.07795562525946768	0.03397516394586298	0.09257723981650362	0.09093420507389843	0.07203844338610718	0.08114741905092478
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	0.1334327245620574	0.09969278033794163	0.1193821450388341	0.04145180483934947	0.13882127955493742	0.040666835059358426	0.13930059091349414	0.1918946560981846	0.034293727689954104	0.1494476616867001	0.07682174720076643	0.13012855243067528	0.03461122461242639	0.264045813341588	0.05582298792331729	0.0776494393390102	0.10260703181057164	0.08286621823617339	0.05129696803777976	0.07375801466857328	0.1680619506069485	0.08633173050350965	0.045766379667572174	0.19161625262796586	0.059602320622799625
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__SMB53	0.09578829668281774	0.08678955453149001	0.09067108822759404	0.15132883776279255	0.10396383866481224	0.13380002165048893	0.09532112757919209	0.11755305548453081	0.10135135135135136	0.06472334420166431	0.12645949344350638	0.09850760971285032	0.13532027400552818	0.07529794149512459	0.12313149227261211	0.10960290026136076	0.11655903691301922	0.08239910313901345	0.10225172815002395	0.11407352737672402	0.08357750802288266	0.10396285856408556	0.11054836778857222	0.07126614321877547	0.19866613774978925
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__	0.052329481923220275	0.0761136712749616	0.062483637315647086	0.05950019833399445	0.06519471488178025	0.060224443402013494	0.03652039135910104	0.023395551009971875	0.05819734829168791	0.04112122244391454	0.020657445661936412	0.05393291631778555	0.06561711332772503	0.06415415570345148	0.04535089941727895	0.04982716465728016	0.07167344335485928	0.043488415545590436	0.0528026829101362	0.05290834448083399	0.032231059020510676	0.08135743105068259	0.0535015424282886	0.05397520058351568	0.11332870531065602
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.0509877003354454	0.1175115207373272	0.08499869098525177	0.06644188813962713	0.041289986091794156	0.00573737956915527	0.043785721205076046	0.059128100230120176	0.03257266700662927	0.07095235777896734	0.10071253218370158	0.06043441855883367	0.08063934623242398	0.06469586751276891	0.13022548771218648	0.09763089115588905	0.1378458104121821	0.0766068759342302	0.05365820272397509	0.056367913649153556	0.05448583786800614	0.05720444370751119	0.06947833694000645	0.06208435234049856	0.04068527792929043
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__YRC22	0.0032053671263510995	0.017511520737327188	0.019809756523256828	0.014280047600158666	0.04111613351877608	0.00046909392703785226	0.03099874067616003	0.02633597545384812	0.0004462009178990311	0.035281522215192956	0.029459313813544098	0.019701521942570063	0.0005408003845691623	0.030568023525770004	0.011992230385947133	0.004889975550122249	0.012198038746711314	0.04414237668161435	0.002087468345766888	0.007011393514460999	0.014092367796846658	0.00408997955010225	0.020995441779087434	0.037799802634401684	0.0031239153071850054
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	0.026164740961610138	0.028878648233486945	0.04092852779474649	0.0745735819119397	0.039377607788595274	0.1810341716883773	0.08936355710549258	0.03470979289184352	0.14495155532891382	0.020146965789089494	0.04562601041853781	0.04368812490764912	0.047530344910467495	0.03049063612443894	0.03656785744447259	0.05505437990051429	0.03898588854341067	0.05722159940209268	0.1032099103415235	0.06909912818856959	0.1399469792102693	0.05703863372575029	0.11285049956259496	0.05500493413995795	0.049387613427877224
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.1012299664554603	0.13632872503840246	0.12837071297669952	0.050178500595001986	0.04824408901251739	0.06311117526070797	0.0045045045045045045	0.12867553055484532	0.027345741968383477	0.05022142196700569	0.005927788755164361	0.10111806137024085	0.10683812041821897	0.002321622039931899	0.030740646904822228	0.17106483433100075	0.06696962449174838	0.05876307922272048	0.12480323044281706	0.025508556667742977	0.04395144411887819	0.1078870281324269	0.015378240250471936	0.04861200497704552	0.0013636138245648832
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.007305255311218785	0.0039938556067588326	0.012915612182563924	0.01586671955573185	0.03259735744089012	0.020387543752029735	0.04761212825728955	0.01476604448990028	0.013895971443141255	0.0147939072460947	0.03610562241781929	0.03368960252179481	0.004566758803028482	0.007738740133106331	0.0036314500464487798	0.0016861984655593962	0.0033484812245874193	0.0226550822122571	0.012285264526726439	0.01360763872872365	0.054555602065020234	0.006798209252196982	0.005617201528615498	0.012228085982751963	0.004313978281350722
