# Constructed from biom file
#OTU ID	AGOS38P1A8	AGOS42P6A8	AGOS44P4A8	AGOS46P1A8	AGOS48P4A8	AGOS50P1A8	AGOS53P1A8	AGOS54P5A8	AGOS56P1A8	AGOS57P4A8	AGOS58P6A8	AGOS60P3A8	CONS37P4A8	CONS39P1A8	CONS41P1A8	CONS43P5A8	CONS45P2A8	CONS47P6A8	CONS49P6A8	CONS51P3A8	CONS52P4A8	CONS55P5A8	CONS59P1A8	CONS61P4A8	CONS62P1A8
1CMET2-PWY	8448.382004063906	6720.135808428978	7976.970658256779	5889.464029886176	9827.527816367588	14612.553005205318	7484.5568546971335	6362.893350162619	6878.539200845515	7201.859199472517	6895.522375676468	8080.431349208898	8330.71056910142	7899.555439007695	7207.1103264368385	7439.243226455995	12283.540977112321	6111.077791584233	12028.889159666422	7809.151892088329	7522.57279451552	8771.210154590663	6973.370398365809	9180.692929095803	11148.514616749391
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	9.286718272664135	8.92079457357769	12.816359183769952	11.088736969229847	11.481659412956615	10.388059599634662	9.256090227098321	12.447544271197083	9.30110489075404	10.558311792941549	4.080299565155275	10.014394545165903	10.547484771929158	6.5811503465647405	6.652832508573123	5.066366818749891	9.137037213380294	9.564980524757575	12.410625098391844	15.591474600952099	10.54054405102821	9.440630670544506	6.628817390880913	10.680280074764958	13.723623071777258
AEROBACTINSYN-PWY	4.393921043003658	1.3366891048610614	20.03693550027774	22.005726807315085	5.132158282733065	2.268663369275962	8.79452176984061	0.0033201512987799217	11.860613276765681	0.002952797473383041	22.373897605666755	0.003547677162481672	18.22639177591864	13.425105305425786	26.612532779705784	3.493793518506568	6.973625341545169	1.5491222319556717	13.625580051822451	0.004572038850999489	0.9493997898691101	5.873288282238543	11.809385082814856	10.333331500068143	5.948463050287673
ALL-CHORISMATE-PWY	224.83569205084794	93.46928201372954	231.6256964324511	240.7854487707224	126.52990421444858	141.4841656911185	195.06535486499249	49.32644796354795	193.69759095322183	115.87824603143342	350.9431748311977	147.90160997588373	314.137293558898	200.59789777565499	340.58423510839754	159.8740322736898	267.1852547685086	90.09227645416341	323.07530900326213	157.345380395843	139.0405767323664	169.78595977241037	167.9591983935152	166.54276253289652	227.38416900690493
ANAEROFRUCAT-PWY	8912.759877291244	8345.897112608542	9584.776471385258	6247.68423433958	11556.461695095517	14893.82712979593	8029.846523680082	7714.14901620285	6827.853111758055	9261.179495970262	7601.013358138499	9947.831404306831	9908.095902110841	8349.959833537869	7592.086977723311	8411.554935703583	13282.845097942512	7452.050467733428	12610.013339617704	9392.753086025288	8014.362254088625	10390.412514771857	7581.268179353238	10863.265172465552	11070.75904259924
ANAGLYCOLYSIS-PWY	12471.476842446991	10124.585171797711	11259.210881945502	8677.98650180102	14374.465845188794	19391.667611303877	11272.977545126063	8952.028110062536	9544.107476230673	10559.300549913041	10188.938572514819	11552.429338193715	12128.913714213983	11071.048335028425	10715.681325015297	11074.153866774628	17923.958754274678	9009.155164272284	17702.56733821137	11215.125702825735	10705.325868747512	13096.589952602882	9803.502519259331	13848.917328759118	16893.90384669957
ARG+POLYAMINE-SYN	3882.078636019228	2157.98967854739	3525.9677785137624	2659.4698464383537	3651.9769600287705	4988.789567655768	3039.2810542102848	2698.524765101206	2510.8966662241455	2553.800057117106	3868.7093847694464	2952.8620273874994	3962.9047942237426	2950.0275223048047	3130.3801168642403	3389.5565236993352	4263.117986047416	2108.730720872469	5715.8576838809295	2957.653747055865	3467.8518245906303	3248.98798369982	2702.6222129814178	4084.4174297025825	4175.993865172389
ARGDEG-PWY	7.86900464671658	2.9540721367126745	12.915879510153708	14.889748790039613	4.093669599637204	4.067615850353718	7.763283287642652	0.34505166467837045	8.852122784692707	0.2975244545249596	14.832762129391462	0.3612565455631429	24.361945849598158	12.55120001415645	30.239543979848126	7.868050649197512	9.770932792798181	2.316077576494249	13.610636305317897	0.4844573219316845	0.9682059813313344	6.22368114725663	8.041394551396236	9.455311115757716	6.981379347944627
ARGORNPROST-PWY	2828.4788854409903	2970.3761083338086	3728.5007962140635	2277.818951429373	3853.3313506613545	3873.0931899552734	2657.6120500376524	2651.074191087506	2321.195677713665	2433.061607975754	3176.7420688103134	3782.6728911812093	3176.929335891572	2455.2060481876747	2623.7957402165757	3729.0816754548573	4054.4557610228535	2412.9291170314027	5822.16791780076	3225.826785190135	2893.651152911297	4121.867929403129	2281.269024483196	3731.167200810118	3518.2081229879022
ARGSYN-PWY	9455.776329951701	6948.563756373951	8140.712977521221	6011.968520394031	10037.131050154738	15469.190905955578	7841.900435864	6392.362363179791	7246.802131880546	7805.776672621466	7668.707092328764	8637.91700059719	8682.20805975603	8627.39410813618	7206.359919144252	7869.601375769269	13290.47971944934	7288.139308011335	12846.634560542738	8321.960742604328	7459.849773197732	8876.47785879738	7301.109752301071	10631.594667633919	11303.379938254333
ARGSYNBSUB-PWY	9957.197582855733	7291.843965636677	8694.667942848506	6288.190492543257	10658.706479440363	16753.109864562175	8184.736174868353	6742.878201145139	7652.840725216053	8402.657393250505	8210.975212915151	9232.961186416429	8902.272659084336	9221.558290597028	7438.259322956289	8036.303269182607	14076.397744712349	7769.700800784266	13105.537222986599	8827.933583374583	7858.2118972436665	9194.2292359378	7747.8965669937115	11224.359718592352	11593.994236645907
ARO-PWY	10706.367318379589	7637.957078859262	8645.9579023362	7037.194339521363	11542.956054425593	17245.3519406906	9056.61295277117	6935.237285330827	8190.993257224751	7669.869605149269	9045.814446692188	8757.8816044965	9366.726127698941	9651.703161573561	8646.305721148863	8444.511370517494	14987.46895617129	7613.12551980045	14335.42986628505	8710.619813395966	8642.730324700502	9783.417035658591	8464.292308919283	11364.425828583166	13242.696953094282
ASPASN-PWY	7676.890009283304	6659.22306174873	7212.50913361165	5788.7302656497795	9639.764961242441	11946.88753446158	7536.6207477173675	5807.729483418335	6241.631000734913	6480.964518913733	5257.134184416354	7492.176754466906	8080.646214966597	6727.885788208598	6895.314339374467	6953.280012028014	10956.24650614181	5358.169351756836	11772.961013684251	7451.00555831386	7092.695938145663	8918.709735769677	6246.56464919499	8698.731773497768	11674.963459963632
AST-PWY	19.712346310230895	1.700547663294897	21.05427705313296	22.66998572464492	6.315207263194537	4.945063220220989	12.43372773392615	0.09207373753850606	18.621339936216543	0.6912089385158504	85.53006434383052	0.22153136831837797	36.72937790057102	19.801577633868966	52.31539560740919	11.008769606628363	11.794519966122918	1.7948824082557284	24.83973713060115	1.3974460790684158	2.039711116909624	7.999094409366192	15.035245929135682	14.176841541646931	9.020631201342942
BIOTIN-BIOSYNTHESIS-PWY	1382.7492876106567	981.2915780293653	836.880097541261	896.454868833491	944.1874355970691	1920.6090156591815	930.8218797347315	646.6403838001988	1099.9160158160332	486.62606179592825	1142.255258192401	531.3665852657964	2468.499384540387	771.5452733816013	2524.0881904702696	1800.5799351068333	1219.8459805428618	652.7065422809662	1227.0021387211245	1315.3405574188903	1160.1836761590796	1059.6798122348214	1563.0821333633573	543.9861960175785	856.4280936600102
BRANCHED-CHAIN-AA-SYN-PWY	12672.041835384174	9220.900523656715	10735.067985805883	8231.875648847441	13151.551112979552	19922.527775385806	10737.04790992199	8440.452075836489	9573.560268033976	9719.776706255007	10813.4794599633	11053.72924823824	10779.355885305067	11271.2215595509	9743.430128733875	9514.830054708145	17022.400118587404	9293.31772053786	15471.123987675797	10516.608807103816	10384.941589310767	11751.55052921316	9368.369115384265	13065.04146226275	15644.206958497605
CALVIN-PWY	12458.112520664245	9490.990138610528	10366.676765263372	7845.868185699153	12896.408007656557	18202.312283166128	10744.93339629203	8548.533101906924	8878.904439744681	9856.064114365105	9467.659990885577	10700.839336961852	12065.794009178684	11008.692174357933	10158.547455598367	11186.527245940986	16873.37425279216	9277.172576310864	17272.315932912577	10277.940762653303	10030.011080438797	12236.036132365143	9482.092452329074	13199.233249853009	15854.71903205103
CATECHOL-ORTHO-CLEAVAGE-PWY	3.096342546549427	2.2441586940196996	1.3833960965370338	1.082568566300717	1.709660470417914	2.450729992108098	1.4677190394587878	1.302016725343845	1.66938466461611	1.1308206355671024	0.7415782101177258	1.3558085817716488	5.71520166269648	1.439948788464779	4.107357008260467	3.351100455817026	2.64342355986791	1.6313722204060335	2.5997466819113826	1.7821277279263972	1.1237819835217668	1.6190501163216098	0.6812556190482103	2.18194981582237	2.1590649646016806
CENTBENZCOA-PWY	73.8858123243907	7.325644855190697	7.726267807047239	4.456271673324846	8.610732342134021	12.804709931801625	10.267921112827654	5.977172334940966	13.819656179501603	5.358618718120646	14.55328149851417	4.372989707624844	10.556205379084593	11.387866843897756	44.42909879562343	37.51612314578261	10.31739998580005	5.038741698728605	24.389292834938576	14.538495079561262	5.450865527091089	10.736115199321093	13.522820995037291	6.770066890316268	13.063999274363816
CENTFERM-PWY	1792.7568205849145	684.7013295773368	883.8746306231153	672.3264109256123	926.9552095615976	1016.9932028986619	1183.304040856925	709.0263325082399	1163.993257529376	692.6892603578987	3281.639726578463	991.4650021447272	1570.9173091492269	902.7612963345813	1495.6637909614842	1397.2288512752484	1284.1685651409948	869.7045555331507	1156.5874435177327	1054.7906024575568	845.7576034723012	962.9737536290485	476.6144027658103	925.6824946064662	1383.999264351193
CHLOROPHYLL-SYN	54.651427780398656	15.890247102402506	18.84968961788199	7.573602351744869	10.861439532912543	23.826784328769403	7.479866679976336	24.264774578994675	19.33131345632425	10.610183190804625	3.169465629081688	9.603743473803423	81.83199168172506	23.011517548327443	56.0501520753245	46.34199338757591	30.74942195355728	7.879713545689887	31.236194343808958	30.14502405134663	12.564324350051052	17.41097230771326	12.844074492930242	16.195505658980352	24.038926300779643
COA-PWY	9636.25983318213	7676.069187839595	8452.873924947693	6260.947169116959	10716.970668888061	13346.815744168569	8340.62705317665	6920.9103870765375	6780.473597425278	8761.3060575143	8745.93552881543	8818.328044010465	9738.382488705813	8308.03632623255	8160.474986150027	9134.637367917165	13231.477480673735	7761.060258188938	14550.750648443327	8789.431593675858	7977.768398111899	9914.577289868728	7577.22703718611	10655.75083006241	12485.672799041347
COBALSYN-PWY	5845.522903603847	4646.5198332652	4536.342148063785	4435.7009002523755	6704.608389746636	8445.780490035399	5454.720551808803	4102.271995936586	4594.056275079483	3693.9811750908725	4747.5512261531885	4369.263655397764	5632.25857248101	5406.423948906743	5316.2974465206435	5794.04660731436	9377.621745051087	4169.326026575037	10338.622877943206	4395.077959019125	5068.608189777592	6190.264237333058	4959.758707270541	7125.344834858528	9380.066072015206
