# Constructed from biom file
#OTU ID	AGOS38P1A0	AGOS42P6A0	AGOS44P4A0	AGOS46P1A0	AGOS48P4A0	AGOS56P1A0	AGOS57P4A0	AGOS58P6A0	AGOS60P3A0	CONS37P4A0	CONS39P1A0	CONS41P1A0	CONS43P5A0	CONS45P2A0	CONS47P6A0	CONS49P6A0	CONS51P3A0	CONS52P4A0	CONS55P5A0	CONS59P1A0	CONS61P4A0	CONS62P1A0
COA-PWY	8104.3994764570525	16160.833322655708	13920.958736252627	22128.239034747567	13653.186759388418	11051.08139287341	8428.279824430852	14636.940731965668	12065.281309967748	12300.334230485769	10011.443831261513	11441.485771581718	7927.181487895054	9155.835923769053	21832.841777282112	9276.541167859323	7747.89364942047	10482.832142498037	9304.374921578146	7588.312366252004	14021.88409931757	15227.966310237203
COBALSYN-PWY	6030.628372082882	11200.551774996024	8001.846725806833	15723.020551795524	8861.401028001797	9332.336250998233	4845.330178336312	10269.543120133689	7526.20278543096	8531.58178124844	6747.934181567178	7957.555127256329	5088.564580040746	6201.314979342627	15695.953864444566	6186.183672334623	4659.825259218801	6673.058818696616	6451.668597978766	5621.258351902554	8009.249052499797	9544.6313459518
CODH-PWY	575.4761243188233	898.6604700865768	701.4953786736311	1155.6168489947477	871.8696167272095	615.5228358870172	591.9373432191828	1231.0588108533482	620.5021948722203	1126.0091578821373	552.8731637342875	602.8847127284747	480.3527289526607	541.9447108457983	1306.6766504774043	483.7294687123499	470.0192179866253	532.3237310893059	538.8982835422091	387.6744749965594	605.3468616319511	760.9271766173089
COLANSYN-PWY	4548.930975310649	12144.79980219062	8828.27250271287	14372.106613325446	8403.30870054083	5323.074734472718	5768.733762801783	9281.798000572406	8294.935312804826	7373.518081692302	7024.578271171336	6867.709945510711	4963.62673905633	5344.487026361172	13187.13754454614	5840.690533181081	5166.8018350909715	6497.737181040551	5426.35531930253	4571.224770919757	9034.805549683238	9278.039721370518
COMPLETE-ARO-PWY	9123.320912112778	17523.85741036557	14650.172029270652	25362.401303550578	14836.813326177064	12991.241965028386	8885.267398001515	15159.008658545512	12998.595868727076	13785.990121209039	11519.296697096472	12621.91779087265	8093.978074106625	9877.677768251917	22277.510334575665	10186.893865061305	8455.029744352583	10983.965193809381	10027.50515237608	8424.862599396576	14951.140824452175	17589.720308809563
CRNFORCAT-PWY	46.7099077146087	64.7542805547007	49.99160414475281	70.84045017282186	63.941901167767604	44.6843406314932	18.547359363434875	78.35377791719804	40.54545302800371	84.19952530135689	38.21902043560298	39.059248954745875	26.554444097820728	35.59681714115655	88.79009939597637	27.101834933342353	34.204020277940415	39.80000901300236	39.042433935786406	20.624917434913495	30.126240094546947	52.49716823702819
DAPLYSINESYN-PWY	8153.880737735904	15771.78562103664	13464.82240758466	22447.148661181625	13556.403858919173	11983.32477011849	7964.366810558508	13696.768176498223	11875.423523442227	12722.983982696273	10398.005509796843	11584.497904803688	7482.81983313857	8995.049030674649	19763.069418980598	9025.882764801918	7886.900143283516	10083.146212274076	9227.759605168214	7507.542118809436	11980.069349564212	16804.004356729278
DENITRIFICATION-PWY	48.973024447738965	16.501101574039183	23.305021694148305	71.90443313106178	28.80850070824485	23.441325969567032	16.176667506636335	22.96727126445962	21.442972461953843	58.522562266411605	12.428059100022482	23.933753991930438	12.525205858906453	13.741092315206538	22.15804376590708	25.731628580530646	29.006467239261163	23.36710912001032	18.180060246828635	28.886180298611336	7.430294844635125	30.07429425508688
DENOVOPURINE2-PWY	7563.221328403953	15242.52389786503	13638.872338311226	23590.12460095833	13657.54596250241	10167.077349583627	8010.521441779968	13797.335697211853	11910.844112825813	11422.525884988478	10426.674775023417	11637.898850167636	7111.640440587953	8699.773613320853	20556.334677046354	9108.969736486855	7818.825591228697	10683.973868754543	9441.15734438062	7897.93544521502	13508.953343406496	16243.643963563196
DHGLUCONATE-PYR-CAT-PWY	0.2846514723266485	0.3738980873687347	0.3175195485971241	0.760405896270962	0.24211107583107688	0.4363449517811106	0.1727301858278898	0.22101274112848832	0.26667917211455966	0.4870087489661926	0.23336654999934753	0.261226867991599	0.230286296224394	0.19060895078663206	0.48336949180305555	0.1931194210123858	0.10098959836623317	0.1829950615272677	0.13164935044946713	0.21618410889836195	0.1063178625113098	0.5034473269707794
