# Constructed from biom file
#OTU ID	AGOS38P1B14	AGOS42P6B14	AGOS44P4B14	AGOS46P1B14	AGOS48P4B14	AGOS50P1B14	AGOS53P1B14	AGOS54P5B14	AGOS56P1B14	AGOS57P4B14	AGOS58P6B14	AGOS60P3B14	CONS37P4B14	CONS39P1B14	CONS41P1B14	CONS43P5B14	CONS45P2B14	CONS47P6B14	CONS49P6B14	CONS51P3B14	CONS52P4B14	CONS55P5B14	CONS59P1B14	CONS61P4B14	CONS62P1B14
1CMET2-PWY	6115.871336104574	13634.571513790152	4817.929581459582	8757.463566898386	12935.656200964004	12153.981125561972	7119.472991039437	10888.839760336557	7012.02894774954	4538.904339080765	8701.441856000502	11440.06869271115	7947.444435567246	7035.284193606101	7469.161791790503	10254.379499241664	7384.495089733031	11661.087434721505	13447.658864172055	6376.852826052434	6530.872756090615	13779.645929030305	11064.949121597587	10263.689605619737	10383.117031105607
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	17.826891432024855	14.47983944521438	10.115119237961268	14.733634576483023	20.952410590750894	14.711704045998719	17.64947460551388	18.86563054953883	9.319284903107299	9.830175423926182	10.803523607804967	20.83377373516322	12.304094706814439	15.2656636001586	11.300007852317064	22.789378079340153	10.885390807343237	32.4828406853366	19.652923094855154	14.585840313683937	8.704787478002258	20.19237696060334	16.389990255671815	6.228395082814562	13.666742653982414
AEROBACTINSYN-PWY	0.0028608699548223057	0.006837672364784976	0.0026021503324879123	5.29445492785307	20.70462297747603	25.662607984246318	4.951178603389237	7.623036416785948	12.00462140978086	1.2629008025400235	8.404673989792274	3.70711219625777	0.7938763116726386	6.936079756666771	14.809882401812564	0.0033032378866453696	6.5142830546807815	1.3513264334687627	1.852546571630137	3.957002958421403	0.005389524460836552	7.545969807998251	9.924423923065456	1.3414704450427273	2.8941485787975987
ALL-CHORISMATE-PWY	124.58306435491401	103.67110209236066	43.91163943113043	166.4897687080281	420.40145010660257	335.2744954473627	157.30806809943724	258.3278930192256	162.7431182886693	110.14453672877168	251.17341639549252	181.59474239010535	100.04257981176393	197.17379770803475	288.40442595867717	187.8354878408369	225.46800860527662	267.43027680968714	168.14067889253778	116.9467213692466	38.46810509239734	233.27127508717544	216.56590347260197	82.63796800175594	145.3365362425069
ANAEROFRUCAT-PWY	6530.978860639588	15232.560912192232	5236.187249237883	9483.082300141386	13875.055295505319	12050.58354806476	7477.1423392407705	12750.84535399248	7644.867814161605	5510.378844859544	9329.251834036577	12784.86723538226	8696.404790408033	7439.634174579777	8093.332578328114	10937.233053692387	8067.849108292069	12804.618813099705	13389.556808891952	6928.104717121795	7333.726157704085	15856.1298348878	11999.804238095505	11287.262157996525	11193.549520771037
ANAGLYCOLYSIS-PWY	9192.27058418187	19052.626548847395	6833.276991402262	12407.642348816633	18148.590968701985	18042.186357566847	10311.567283995837	15867.323249581608	10155.028573627646	6854.240127878195	12858.789406974258	17138.507785274243	11436.509387773358	9676.883502596082	10827.470048300751	15295.882406221383	10446.576478262801	17520.936513991048	19884.228848325416	9213.918343491849	9465.034396116633	20296.02383752747	16535.286939369482	14646.541583784641	14831.051018425316
ARG+POLYAMINE-SYN	2657.8553468027835	5290.317244880496	1850.692732199081	3695.785830214672	4871.35608774148	5715.961929154819	3148.041723338483	4194.52709836565	3010.0799882567962	1949.0637558010358	3404.9371431230416	4713.9874529137505	3550.969572377278	2787.0815650227823	3040.0809109988536	4101.993930509253	3100.454599000668	5273.944209738936	5235.953233109505	2449.8766351502413	2738.314996392095	5570.200044887042	4854.853033028769	5040.038405055422	4129.99911253973
ARGDEG-PWY	1.8873345227437786	1.134863603213493	0.7354458928653856	4.820878034719768	31.22241961445733	18.400960077488463	5.6847088130047165	7.2594606848784204	8.41974573377997	2.1027744721865975	8.510453470345865	5.66548303791829	1.0623441419268724	5.865782578410176	10.25046102347874	1.5115834401591755	7.6690618617634545	4.2625262752827044	4.061364435182229	4.315007016780886	0.1932932751452226	8.435135088283019	8.007169242258788	0.25575068908314347	4.106633693159226
ARGORNPROST-PWY	2199.810455969267	3230.2845659877466	1558.7412099496016	2552.336943266173	3999.748008129656	4807.721214830813	2090.557939119551	4219.162295625214	2300.5057400305705	1658.0427966748052	3077.578029429877	3885.3752391356425	2643.515927790606	1708.0698082094023	2339.239878764922	3252.04510007737	2119.3806818598555	4283.289096698782	5832.093724568304	1732.4355986411492	2064.895319327528	4053.544974055645	3870.985087698371	2506.0958993505274	2348.937095286149
ARGSYN-PWY	6784.608386281036	12553.398516102929	4749.341673331009	8266.998073065437	13370.05695097095	11821.286738576353	6991.137022259065	10087.359198148206	6684.527743803102	4845.34900407689	9168.96795512304	11257.432309175843	7584.366774199988	6886.208516729146	7447.3893188447555	10193.883337933767	7153.839691928598	11619.903757907538	13214.08537218434	6159.369001074966	6333.559994457986	12765.693399545728	10553.540969463065	10519.915890447546	9442.857713690913
ARGSYNBSUB-PWY	7069.076957039508	13332.075524935506	5007.529847857631	8701.492836953348	14288.491215053775	12039.448703627786	7289.3021003706	10375.980444855451	6904.40826282957	5083.464043855895	9643.876648453605	11704.851067223422	7897.9509879554535	7367.2326247538795	7899.86908049823	10616.580779054288	7536.924407059803	12160.98866613653	13402.615265929555	6545.339006978282	6649.663397559059	13353.48985357441	10912.429484871316	11428.550436587322	9804.229393989022
ARO-PWY	7735.167651739481	15670.997494967367	5395.335395064981	10178.10009774529	15064.062590221756	13938.014781724794	8496.458029317297	11744.368470949401	8163.653571711294	5468.153987413346	10514.675460636681	13799.864987523455	9187.867534227065	8285.556423252085	9015.221005011419	12342.360103379757	8717.745272714765	14056.547380843303	15661.789941362358	7573.872893638297	7582.808905339954	15939.221526729629	13203.453689569411	12874.795720779923	11976.60612029034
ASPASN-PWY	5784.579031531648	12570.507229882482	4553.194603921249	8330.15393494675	11480.438976168827	12473.255897724313	6979.40978787781	10951.089003427896	6903.727502609451	4299.188540139133	8347.510202885112	10921.926349663687	7522.999960010555	6330.794912052511	7053.077729567459	10333.96875517695	6595.214780595865	11077.792109860453	13825.365870162559	5984.455445151689	6406.961932176536	13521.937638219266	10884.496631194912	8650.642952499918	10338.41504978935
AST-PWY	13.671190516478509	0.3817445621212446	2.14973762129284	16.44929480168037	48.49902894460055	51.29990278802407	6.727307908908915	13.678675552102607	14.22322615397737	2.899194614334116	12.045735729946655	5.322603643361919	5.590180295062935	8.905428124737233	16.134989759369848	6.092341330818704	10.198246980646564	7.094068172389987	10.47203429631356	4.797417006624067	0.3871424453968899	10.493920088832919	14.598116139604782	9.026894699476207	4.673289530934858
BENZCOA-PWY	0.0	0.0	0.0	0.025466805812100445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11705703866495994	0.0	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY	1037.1619233392444	1730.4271568105032	765.4858774945593	1774.7978212716455	2446.411635176182	1474.6529150717083	1324.7742862673358	1641.6693493107907	1147.1388993120916	678.0222102105643	1057.9081065132018	2092.525660778401	1525.0440283214584	1393.4415472052501	1032.21920539569	1446.0179465250835	1508.2733105710647	2309.2522344857543	1501.5547833904666	980.6485758514375	1246.829618969831	2529.651940337827	1918.1680457924238	1066.4688983751705	2155.32152485214
BRANCHED-CHAIN-AA-SYN-PWY	9268.776492247966	17217.668617344152	6388.668257053184	11060.673498144892	17624.47738454897	16244.655261159032	9736.369588230758	13464.514361794536	9091.000713413629	6229.152555844697	12115.789653398411	14900.447348889587	10098.05234296445	9209.796557503587	10076.664806687362	13762.846434332903	9539.197367400358	16444.694596021756	17093.804603804914	8508.00485788788	8714.863425745858	16820.881183321453	14581.512415379644	14260.71251994184	13554.128105163234
CALVIN-PWY	8832.097932204013	17577.965044935485	5913.224745399421	11262.452110968186	16155.693839791862	16011.166143287774	9876.399601607163	13896.30303341727	9447.57444240153	6517.46014440016	11458.159398912341	15669.759536986016	10393.430120867622	8823.32960567031	9970.723575960892	13706.614419145088	9829.949627973318	16563.583991562675	18057.741539440558	8094.721287336619	8517.86573962767	17242.33926129547	15145.238257338093	12641.174360580988	14377.64001648998
CATECHOL-ORTHO-CLEAVAGE-PWY	2.300806444538658	2.5059358349412912	1.5179893892782506	1.4786614188916474	6.237097724722214	1.640789386838767	1.6631211724382542	2.525590537563769	1.4224795507556331	0.9322479227415104	1.9173366470276576	2.828039596446015	1.6757006451353817	1.1932734320827918	1.1046912444830237	6.388717219491716	1.5967715676630732	4.809788482806993	2.584587945514352	4.598703750831798	1.4336539570500968	1.6109756001943945	1.4593562017301458	0.8674632877261	2.127249374815341
CENTBENZCOA-PWY	76.42406534288682	14.172152730247124	12.281991498154962	10.321685620444066	25.07459256406898	66.17193679640376	6.670849352529221	7.17527183414546	19.820515188813765	6.336645812875102	34.04661471272492	13.629382757627733	21.886256586801395	10.113199661570077	15.139691066968693	3.9028398069713437	13.871577173117492	34.125242187169775	41.02324523497408	4.253553004700585	16.368888750880256	10.32378631891461	15.983335897048379	2.983793258942555	23.096100516684228
CENTFERM-PWY	1786.9143423020428	1649.1355497272746	775.9089011961329	1192.5935600693786	2307.2749109360775	2292.2263979589065	1069.799649723716	1393.8197447310354	980.1997752620662	556.0414934284017	1623.1792918666654	1542.0195443020546	1364.1181145850887	968.3713029962429	1011.2619320186498	1536.3031109250583	1397.0582414849205	2609.6774970896317	1699.2555341617988	919.8919105457447	892.1164338077414	1767.0592372397668	1468.9513677930815	2915.8070016729876	1380.9885647040162
CHLOROPHYLL-SYN	84.0963845849726	42.45313843160457	20.261152350781376	47.60787726364952	131.4492755184682	68.7148144761405	28.22332074715543	40.77600739691945	42.04135210413403	18.167372706745034	45.30757430997698	21.66901663058962	43.971462680819556	11.964748920484038	26.05314213252039	55.14710883825961	28.56935327416315	71.54435797036507	82.9464485479139	21.26513655734686	25.007727653610033	44.14065857224591	52.52561700758923	6.236924664538548	28.127182862437063
