# Constructed from biom file
#OTU ID	AGOS38P1A16	AGOS42P6A16	AGOS44P4A16	AGOS46P1A16	AGOS48P4A16	AGOS50P1A16	AGOS53P1A16	AGOS54P5A16	AGOS56P1A16	AGOS57P4A16	AGOS58P6A16	AGOS60P3A16	CONS37P4A16	CONS39P1A16	CONS41P1A16	CONS43P5A16	CONS45P2A16	CONS47P6A16	CONS49P6A16	CONS51P3A16	CONS52P4A16	CONS55P5A16	CONS59P1A16	CONS61P4A16	CONS62P1A16
1CMET2-PWY	6193.123134198079	5708.739805595476	5489.657809975862	2550.7534398696976	5655.451309849636	14885.785110527278	11053.87824628111	8079.439014735798	7981.580635497263	10362.493026678005	9235.896448350633	9878.71035619722	7710.066775801796	6837.47452030118	5405.210337835613	5846.3191059165765	6023.094337112526	10351.859749506139	14958.951424805016	11099.049220021514	8166.0808506473295	8290.858539005112	10696.85748861775	11903.798039434745	18690.00163056257
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	11.8975351406195	12.173752696108624	11.220799087668915	1.3906980489673577	6.538501226108833	13.138587256928965	17.634766071790327	5.186348882955439	6.602893233275973	11.495650698548431	7.501512811307118	13.376705910248749	11.643457778994671	7.454508646711485	13.64478622526465	6.937444152971909	5.263436827927901	27.8075901667938	10.56986353076314	24.26144351439518	12.538445636720551	9.752776451977518	26.05104455595398	14.904120906319712	26.143807036269575
AEROBACTINSYN-PWY	12.112719173089038	11.654368861769411	3.5666521003930813	4.85647160809789	2.4162489338644426	9.05808003622254	2.316529780294535	1.7644084437233376	24.012927502870998	13.152363396047763	11.743919635336118	0.0029957772818819755	0.8793707861850228	5.765076207719601	5.401232530735747	1.034953767204226	21.8613754696423	19.565184777641186	15.337409204458428	0.0036445726224218957	1.1806078127782043	32.59715581441895	6.557847640261824	9.838665443886052	2.9276855939993696
ALL-CHORISMATE-PWY	233.21783351632072	182.45997322605712	150.4255429761912	54.68604366735005	104.80850755947226	254.52658224499606	169.48630253948792	101.18699769437242	314.48898617172995	279.53583309158194	304.06572103035086	167.47533375640384	88.03174966024572	123.63081579114537	119.50527445719148	76.80766143602891	248.06603153856875	369.21896115836296	395.4682723373175	273.9120819362068	158.00249200964174	407.9852868542356	284.42363652031514	295.5810327507338	283.3662213753964
ANAEROFRUCAT-PWY	7023.281656870848	7082.860342001148	6509.168507583565	2471.5865496784854	6383.638681883331	14071.328869411322	10910.409514511544	9645.247115295137	7523.109202480981	11513.201577033462	10293.764924223471	11056.293386742844	8652.997173049973	7174.625069693133	6167.404338090008	7136.193633847938	6498.484020062255	11270.486821122431	16480.428651289316	10173.448515470618	8504.68630643163	9096.291325144763	9984.981138273575	12960.752841038731	16875.601773300434
ANAGLYCOLYSIS-PWY	9026.938921360304	8657.536435092094	7976.508403416259	3666.678399051911	8416.90171052511	22124.94263085942	16115.536428980751	11533.092376012091	11345.995284015255	14899.289091466197	14042.843812769981	14073.81947889285	11371.076128883024	9464.383350279895	8165.45921929404	8562.738345023803	8979.796749520629	14944.502305542725	21074.00592061253	15980.46847751134	11695.060529740676	12103.036308019467	15623.543137424844	16566.811365667963	28994.653241773307
ARG+POLYAMINE-SYN	2384.3141439018123	2254.0165217504864	2003.2492990222129	1078.4716028051632	2193.354291691012	7643.920078387377	4818.722398125341	3037.5630470618444	3822.934218530275	4785.893353458234	5401.940869011639	4182.26032089193	2909.608395657416	2581.433174753664	2532.5384584716753	1854.5717424792167	2366.136330907483	4305.800006964647	6659.20632706097	5124.171005646686	3778.153669521957	3376.341797992427	5019.334880202179	4543.812220453159	7495.448510641296
ARGDEG-PWY	11.976371637333637	11.556196244824385	2.92976363947819	4.846614515292169	6.44063697878086	10.37520257197315	4.1900093734104376	2.3436876507918183	19.23160353856684	16.691150183590374	9.998437472633983	1.9844441257423822	1.3133831105280662	5.36613796845649	4.360388615398155	1.2796292997702252	18.282148253191625	41.20653818933772	18.21576866355649	5.213354758623439	1.931402872375028	28.872103298821575	8.710995532137705	13.111768364441932	7.83002424057183
ARGORNPROST-PWY	2589.1370132946554	2397.9319502200133	2528.5271661230086	926.5811203868218	2113.553016242881	7709.008426518144	4310.012860974124	2761.46266016419	4051.204440668623	3940.2131434303255	3575.274224186006	4120.750541275772	3803.8830731128123	1959.0368367141427	2335.75115806192	2879.6306060261263	2400.621770674149	3844.4634782300304	7162.657788690333	4398.155123734674	3431.0268056975106	3644.0464940474617	4484.772029079746	4002.7281616994287	7447.3039752861505
ARGSYN-PWY	6849.704946653874	6410.266719051934	5695.217481080685	2475.762954758283	5676.677316123599	14350.566454898784	10860.803278865076	8392.022877134073	7767.839972573924	10572.20544210113	10244.336874513481	9551.469093552741	8061.611668839484	7324.66092576912	6243.604221043133	5776.601559755977	6730.56935889362	10552.440682263998	14882.376885215168	11048.314883609899	8388.187886635167	8167.136218848003	10647.962668379916	12361.402417471409	19264.870055254563
ARGSYNBSUB-PWY	7099.614499303703	6664.296393488077	5906.433112655816	2455.064166602281	5929.629472641311	13978.690255329942	11169.811264520096	8798.020195442183	7676.699289569889	11046.775218076482	10790.625635441536	9797.93757062511	8080.395875300188	7849.314266082043	6414.481087765215	5874.775957102222	6948.170641967963	10852.714602395023	14886.526574033662	11183.931869984393	8755.88423421304	8242.972647374283	10669.459532976649	13107.218005213414	19185.083465884196
ARO-PWY	7257.373871093989	6684.7948692569125	6061.813791961543	2881.0838955984277	6671.766152709814	17325.872023740223	13148.332807653216	9289.159898140342	9089.70796959854	12102.926774050762	12330.417943018816	10809.506932037963	8723.866673229088	8329.713942709626	6825.355500955765	6047.490296024009	7303.873442165861	12273.377776719883	16650.80270740035	12875.653679051762	9485.85218925912	9106.542033986449	12636.75526545199	14149.53657939126	22351.136029512403
ASPASN-PWY	5911.152798056713	5439.436311733792	5401.001257557314	2521.3270743793805	5588.80845527658	16118.761151669749	11265.33772167458	7308.652986576385	7932.684491379982	9400.085409232379	7952.264668287518	9789.909641880891	7640.115436023907	5804.515937309034	4991.862199810285	5800.308418045203	5792.353078913825	9632.411543009883	14508.792534601413	10786.064423588234	7863.866950772952	8474.551096392857	10584.020633350812	10535.582524162231	20740.707329648878
AST-PWY	19.69708002205963	15.461529800852544	6.155535548924942	7.790136484385946	10.620623877038502	16.435424102668758	9.438874762495965	4.594857327349296	38.309084756543655	18.10268626613584	55.46646079475031	6.623046694115655	1.0429728681146444	8.802760651927818	7.1209969497569565	1.2335004773229934	27.502766850286843	35.74823380922345	24.76683050953696	40.415971993256136	1.4515828785092453	44.069486426848414	18.75596123931455	14.490095877476168	14.876197422100239
BENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4228780064675073	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY	649.8504398911997	463.34377215771144	538.5026403760511	483.9176438393452	1130.819876205746	1637.2052069112804	1850.7021879529048	703.0909478126446	1049.654384389309	1224.6240133451684	2079.3554141498776	2155.1415081981554	412.7044917210057	562.6298845142198	422.6829535946785	311.45964167226504	534.073697989138	1859.9152946799782	1524.6498036984797	2329.0642522451503	1336.7155724584413	985.1917265490657	1301.8978098998475	1370.930232331122	1454.9991682233479
BRANCHED-CHAIN-AA-SYN-PWY	8884.312699293096	8144.642003009257	7480.036549062597	3250.9856954189827	7679.353181539629	17435.701517951074	14547.439147181629	10703.22863498766	9504.504539289725	14066.913439722994	14525.539098057932	12776.549550698912	10604.804994370237	9574.397196775742	8380.950873391255	7576.678898636632	8592.010470398809	13614.50247621523	17539.27231930007	14877.571344481816	10753.754955095203	10628.327256214074	13657.143950269992	15274.713375369216	27202.4360088746
CALVIN-PWY	8872.565604726366	8496.36294864173	7482.391920684502	3593.713275332769	7811.739466999481	20362.992280774644	15158.426503728933	10997.011212886326	10906.083512303205	14807.802364011042	13288.088013223072	13519.316069572487	11034.177352937602	9017.409692794998	8269.803269262358	7837.416322221271	8774.772625273072	14924.428151390188	20383.484419952685	15735.778522216426	10837.689164163019	11877.634485129602	15042.887196951635	15954.6357956136	27234.02786270762
CATECHOL-ORTHO-CLEAVAGE-PWY	1.669306655028876	10.194578068239768	1.2835074353080844	0.7662669605459838	2.9777616945874947	3.83365490872754	2.251058712639784	1.0022444998306392	1.0349267060070149	3.184526437277063	1.094857582868968	2.5707871830817672	2.0220737023349784	1.202075945059534	1.5036342701347487	0.795814402219803	1.4304878137084127	5.143404203738699	3.9766290650061613	5.789334163934896	2.1893318292421746	6.736410172459001	7.1974365273899386	3.458510753591996	5.707571286432127
CENTBENZCOA-PWY	7.012067731437539	9.641818785212818	11.499865720191641	5.758335858065649	35.49701647102227	19.833368912188277	27.337754186629844	15.430715181427983	22.62869057209763	10.766929584430388	20.87711236035198	52.07123588403404	5.235221568337762	10.124052229616444	9.291868598436869	2.8108734279424405	3.3303036062793314	10.22525136138331	18.91973520426997	135.75811366349905	5.37078579969627	9.61406522434532	57.8695236419656	11.664206390320253	35.21040744623836
CENTFERM-PWY	868.5200971161869	954.3408576372951	692.9475929522263	344.1844338798063	1132.9617812541217	1715.0915972219625	1956.2547655058115	806.0382852553635	964.4436365492053	1560.0859834795754	3897.193298315374	1612.7637609392752	915.3125137437111	652.5786037175365	747.0428954303437	444.49849252364095	563.0183066915173	2246.996522462471	1637.6383990115478	3183.5221892822074	1012.9850453487711	1211.948586027082	1944.186138722105	1593.875612104761	2402.15394966895
CHLOROPHYLL-SYN	28.42386082898668	20.952698546833073	20.82025165028323	17.97696706145544	31.024174615353907	72.48893017486638	34.31784641378065	9.58816850587581	35.92856205631659	41.30600561216188	12.842923216551174	24.781489402394847	12.084114506151728	13.72328485951093	22.36150689509215	2.7444719470340506	29.583477193656357	86.16022380712143	51.95248037500405	128.53386876857667	34.5742986078601	18.75795215881514	69.46454139526088	37.112520489491104	75.47174616401858
COA-PWY	6861.25635697354	7177.671060652754	6207.9832334596995	2924.159329643314	6340.048477298565	16244.793395384691	12006.60226088875	8794.275639652506	8882.140578597444	11428.43307992878	12019.678663264318	10977.684135568019	9250.877818393315	6937.13485258533	6908.46437780408	6912.153092675312	6932.089199820516	11888.548369551656	16915.679125956347	12306.340625529367	8608.558103765465	9140.492731121147	12057.661770740697	12529.772507045065	20840.28711118548
COBALSYN-PWY	4395.191237685917	4383.353366792044	3758.1379954492054	2167.5388143260525	3998.9500074736957	13709.463232422078	8161.70024672936	5616.4627599117	7031.2193576220725	7351.468608994366	6914.755372292626	6534.845775576823	6587.527574423576	4592.572229810128	4766.541438075807	4246.43857424471	5018.279298443125	8192.364733401364	11964.166672698713	8595.002409834917	5701.399392723354	6357.610745881284	9627.98914610285	8697.199775581728	16967.260064466856
CODH-PWY	336.55346239648577	469.76720787284313	424.8349376824853	133.5951783668757	402.20507029701696	496.3851549401964	530.0184934339939	321.6042190804877	287.63813548316165	576.4525395416327	716.7969775676504	505.74738872012915	602.0693789035204	398.2853084457937	418.3450053775914	311.16019867668786	375.19166874605156	622.4250993750852	586.4705431612546	712.9836636407664	371.62080455831926	504.39333908765263	590.8716352111724	766.4277499167521	1168.9524598501628
COLANSYN-PWY	3807.5308367554744	2866.5854266651113	3095.12158177102	1425.8545313104466	3810.628472782975	6689.184215089311	8241.250112393613	5018.772724196693	4194.9250420883045	8072.158019013986	7038.54058832963	6572.907125331749	2536.426067487053	4840.742321833892	2507.251604840211	2365.868989487929	2874.2465116808253	7554.091217373071	8327.992882224205	7540.107310775934	5902.7763136829	4266.366945991992	6318.512462200747	8249.13271901033	7270.205630288431
COMPLETE-ARO-PWY	7610.559187462564	7039.924693670646	6376.807311230574	3043.901750574733	7022.3110471033015	18346.974315930256	13828.224352879159	9730.069496439373	9606.236368580832	12652.811118005988	12941.283765651435	11341.237338610648	9236.551215286689	8717.646092925123	7182.905211262016	6391.094795592	7698.316292168476	12870.38379047898	17526.68238130161	13551.715512856703	9959.174554755504	9620.072598159424	13352.52987054069	14825.93341232397	23701.143542201797
CRNFORCAT-PWY	22.854079722279423	29.515848817572746	26.806270877403968	5.312755873788922	16.255932871027035	26.916599784056135	29.520384031387955	15.762712989963063	16.483588690150107	32.95897694309434	18.97722077174398	21.493562027070112	43.34294998511605	23.403923081238165	28.975289905274593	15.510508363994184	22.298508043203796	23.306188828647674	38.79938410402234	26.24436514939038	26.363534132962492	25.596980062785057	27.488097346483706	37.97725586791393	57.22424408410825
DAPLYSINESYN-PWY	7670.991873190499	7375.589440353482	6489.380843130469	2943.277198981053	6665.909508677426	16929.985735497205	12366.111908632778	9632.208355380539	8752.590165626549	12314.563081806215	11289.765720343015	11055.435834476164	9373.030421666976	8023.982826013419	7148.484178606912	6837.000675390837	7699.33817234293	12226.763492688755	16504.306084885262	12797.42543021847	9246.039202147038	9743.848169760533	12303.074169234202	13912.488497117061	23686.427962023045
DENITRIFICATION-PWY	13.262635048540707	11.432332949394004	14.293871909749416	3.1198835149926847	7.918536314584141	19.688858231870675	81.62025921414262	12.295070155259834	5.894933259190934	42.81136877361946	17.782570370366724	47.32951401267256	6.636060611784591	9.78986209731317	11.147954318381233	3.4372623367797637	3.4331127500553644	62.26143265518444	35.742348456816636	52.3096830099854	46.097611862866735	22.671014210820076	46.28194400557686	23.60032616193211	30.15829375984229
DENOVOPURINE2-PWY	6845.083465179246	6789.523719424452	5985.762607209214	2738.5609354478524	6129.363788648841	15998.908358772796	12330.956956575274	8134.590917436118	8759.129302841153	10343.775856935905	11010.613652122067	10640.129494060991	7995.161113511011	7290.301656975084	6399.7128963442965	6027.141061047282	7011.47117043563	11602.931059650928	15786.846905900438	11906.071841343979	9383.100467576829	8893.761774592907	11874.425609159198	12628.800855777185	18832.62548594839
DHGLUCONATE-PYR-CAT-PWY	0.11173420059308475	0.11863808449927238	0.11549194211899823	0.0015414053452370029	0.05735451001103828	0.15303089092958425	0.24644290528690868	0.03465090773679326	0.04985166854872731	0.06968063140675	0.05304552840327835	0.17649579386446973	0.05047052406783842	0.046852290062174604	0.1633045078964896	0.0760831673657847	0.006631579402776398	0.21204377465981308	0.033841544065063976	0.055196325819470884	0.14779917677861754	0.06006998218049477	0.18807637358129672	0.12125889616025387	0.2693271292415758
DTDPRHAMSYN-PWY	7439.770359833607	6732.5557848919425	5956.465212172921	2199.3704432606196	6261.994961921516	13243.784664192652	12202.49714105674	9400.98860369193	7380.655702127249	13063.111702404773	10346.495160069948	10706.787692066247	6864.639838899686	9414.310273146062	6200.4821833189735	5406.318176337388	7126.924372076634	11933.33391367907	13163.21948174374	10896.520125177862	8884.856110742616	7964.432279238981	10075.041867364562	14764.356684792932	16806.431852092544
ECASYN-PWY	32.34714424663443	28.24584464350671	8.41414548287594	12.22805779896794	14.603044238196066	28.67144399001049	6.586825098455505	13.414130057936339	60.175207072964	45.48791895085688	30.522623856324245	4.08441823854913	2.315456633563113	15.323612137703934	12.015452255524302	2.710288400465571	54.113004876718456	70.76228780645599	44.01068142409502	3.1821572762033252	9.195980220438594	89.81711031739776	18.456119580130128	28.154895377021894	9.937588291840305
ENTBACSYN-PWY	134.91597101724722	98.30479039159242	79.40680933248026	32.18396352806275	26.281930771023866	98.90062470269274	44.70066169442589	35.24307018347548	187.5763295441079	216.33396174104178	139.1969185498665	36.553282052160654	14.89090989908732	50.28758725920349	47.86925969662444	28.58960631272337	162.04711146625044	192.73049678859834	160.67604999075724	48.93527172063538	53.08558130411368	269.3565326341381	97.53083508219358	165.56862142099587	56.69980452474579
FAO-PWY	431.32749810051973	422.64239791602995	366.730720033852	178.89781319038116	548.6375422571944	784.078109049353	1059.7628524667869	403.42539159853374	506.6342934741084	816.0017027830453	1662.531458303283	868.3586468006521	409.8765747141204	338.5604858465915	507.579535225766	211.66635085333206	268.97923436503163	1165.75435071705	761.9032159315631	1652.5907912176021	707.8868922753385	622.6927465648765	943.3727428240221	828.9306726170705	1162.6685294174738
